name,country,lat,lon,population,capital
Bari,IT,41.12066,16.86982,316491,0
Bariadi,TZ,-2.8,33.98333,260927,0
Barinas,VE,8.62064,-70.23105,397279,0
Baripada,IN,21.93458,86.72852,116849,0
Barishal,BD,22.70497,90.37013,202242,0
Barking,GB,51.53333,0.08333,218534,0
Barnala,IN,30.37451,75.5487,116449,0
Barnaul,RU,53.36199,83.72786,632372,0
Barquisimeto,VE,10.0647,-69.35703,1240714,0
Barra Mansa,BR,-22.54417,-44.17139,164052,0
Barrancabermeja,CO,7.06528,-73.85472,191403,0
Barranquilla,CO,10.96854,-74.78132,1206319,0
